#{"t_start": 1767787310.158633, "env_id": "None"}
r,l,t
-454.9833,400,4.416734
-577.663646,400,8.572256
-280.693005,400,12.832598
-536.993472,400,17.159433
-421.365401,400,21.26919
-372.608785,400,25.467579
-380.650589,400,29.714444
-325.237695,400,33.9861
-413.907324,400,38.217441
-370.318222,400,42.445142
-538.912368,400,46.816101
-362.631692,400,51.093105
-614.718163,400,55.453815
-438.775532,400,59.705431
-395.998422,400,64.059333
-226.455563,400,68.295301
-442.245923,400,72.529261
-339.656675,400,76.775071
-600.259011,400,81.015096
-432.244457,400,85.258967
-285.393704,400,89.551128
-657.900652,400,94.039948
-523.72099,400,98.340995
-241.572915,400,102.573809
-437.916913,400,106.771197
-381.304359,400,111.33592
-405.726044,400,115.715666
-321.928457,400,120.182611
-450.406432,400,124.741987
-222.997412,400,129.182082
-374.950084,400,133.781434
-242.793972,400,138.280254
-407.172378,400,142.796867
-484.985609,400,147.243329
-119.695849,400,151.798955
-378.36646,400,156.305878
-286.119424,400,160.699812
-486.367895,400,165.136132
-341.20742,400,169.64829
-387.954089,400,174.153297
-330.013571,400,178.681555
-112.406892,400,183.209701
-109.416592,400,187.609054
-168.254369,400,192.159421
-85.186539,400,196.654918
-451.527414,400,201.073385
-133.991324,400,205.53933
-337.177051,400,210.098424
-313.04121,400,214.570945
-347.029457,400,219.151783
-293.156212,400,246.064168
-174.122633,400,250.65573
-476.642233,400,255.20648
-443.99564,400,259.707977
-179.24864,400,264.321285
-204.872385,400,268.826485
-359.049889,400,273.353288
-274.6913,400,277.766752
-213.936356,400,282.380884
-93.613831,400,286.964406
-44.012574,400,291.469338
-313.25802,400,295.960296
-299.257454,400,300.47733
-221.098644,400,304.956779
-123.498829,400,309.47607
-264.390009,400,313.889001
-216.129122,400,318.389959
-64.911128,400,322.870722
-223.695529,400,327.293106
-209.049755,400,331.728193
-300.545742,400,336.277147
-238.205118,400,340.723307
-353.010898,400,345.145727
-192.03692,400,349.573014
-82.080545,400,354.128909
-56.017127,400,358.605106
-369.622874,400,363.144245
-146.880409,400,367.693568
-290.048509,400,372.070719
-71.708006,400,376.584036
-42.958509,400,381.05631
-81.588888,400,385.483383
-243.992157,400,390.005526
-221.255183,400,394.423798
-426.133244,400,398.959353
-119.395107,400,403.47406
-68.134994,400,407.937739
-275.084281,400,412.431447
-170.155689,400,416.977
34.189279,186,419.247025
-79.817907,400,423.700498
34.961565,148,425.599634
-117.8807,389,429.867135
-160.271063,400,434.416767
-168.128508,400,438.976391
-160.682617,400,443.536708
-93.198342,400,447.917082
43.014496,97,449.240024
-71.557567,400,453.720119
-322.147222,400,458.210665
-209.920786,400,462.786225
-83.550602,400,489.633142
-10.592782,276,492.870093
-48.36003,277,496.184592
-361.43617,400,500.729111
-36.418963,400,505.342464
-47.111219,328,509.083206
-77.11569,400,513.606025
-269.935993,400,518.081522
-388.051796,400,522.615778
-346.894595,400,527.134681
37.952593,140,528.789551
-185.393708,400,533.26693
-177.275988,400,537.797119
-17.592981,400,542.382364
-163.451464,400,546.865474
-169.585469,400,551.286548
-199.261218,400,555.714928
-235.173188,400,560.296102
-95.777376,352,564.213572
-63.733058,343,568.133541
14.214365,307,571.659304
-102.763785,346,575.682713
-67.65727,378,579.893749
-217.568904,400,584.372508
-29.449748,381,588.783195
16.065091,275,592.023968
-165.816722,400,596.608801
-20.900721,400,601.182382
-65.986678,348,605.138916
-132.895197,386,609.626386
-157.046535,400,614.219966
-151.495922,364,618.285641
-120.479643,400,622.885445
-38.358944,281,626.175403
-39.183274,288,629.522594
-99.970328,400,633.981101
-289.94077,400,638.489968
-77.654468,377,642.858018
-278.780132,400,647.427247
37.330235,103,648.802221
-73.112533,326,652.531874
-165.484558,400,657.085784
-299.209114,400,661.609925
-157.973983,400,666.121897
-361.586578,400,670.506839
-28.482376,382,674.830903
-44.639604,282,678.060479
-187.074561,400,682.545473
-44.944642,243,685.372298
-322.859416,400,689.831511
-90.570892,400,694.336935
-184.774609,400,698.883203
-94.388158,323,702.66427
-161.001319,384,706.872695
18.52356,122,708.344524
2.420489,180,710.57448
9.138812,235,713.290651
-154.314623,400,733.305229
-20.307406,294,736.710179
-243.450422,400,741.33476
-37.73006,364,745.522725
-64.647469,288,748.902778
-85.630153,351,753.074166
-58.469844,308,756.673763
-64.24535,251,759.660851
37.161882,99,761.018355
31.556011,103,762.429071
7.951104,165,764.361409
-6.575272,324,768.063684
-119.170059,366,772.079757
-162.3213,394,776.557209
-144.099123,378,780.845409
42.94181,74,781.833681
-177.75242,400,786.518827
-250.46854,400,791.131601
-44.086467,284,794.531828
22.961899,141,796.221976
10.552281,172,798.34776
30.394465,186,800.518222
-218.098231,400,805.160782
-12.978788,159,807.201961
-24.811363,260,810.214927
-51.577002,203,812.651596
12.051884,178,814.819874
26.393108,224,817.473548
-33.147855,258,820.633333
2.823971,131,822.309511
-137.698626,354,826.277761
-26.570995,216,828.802482
-78.433908,293,832.181664
16.94337,162,834.170316
-45.36388,277,837.466659
3.989499,198,839.871718
-145.627725,359,843.952312
-90.116179,400,848.621155
-87.644774,287,851.842609
21.471561,122,853.456691
-87.361178,298,857.020381
14.21229,194,859.390003
-82.479834,321,863.234493
-41.058943,286,866.628427
-131.929759,388,871.084121
7.143128,169,873.18323
-341.056047,400,877.939037
35.353467,85,879.163765
-33.541533,284,882.494856
17.522419,153,884.331456
-11.466165,256,887.391459
37.752016,98,888.727625
44.590918,74,889.718628
45.891812,101,891.076128
39.020457,82,892.231787
25.440733,157,894.059197
0.882876,157,895.907024
-111.579507,336,899.652058
-4.78011,197,902.054209
-209.302519,400,906.454255
-100.812417,307,910.045986
32.600987,98,911.391662
40.073992,114,912.908237
-1.724833,188,915.110677
-77.210093,261,918.180848
-75.743366,256,921.151442
30.975926,205,923.541927
20.165547,130,925.237905
-111.273689,400,929.746904
34.220647,137,931.388681
32.287634,137,933.119974
-9.601886,161,935.141671
-168.949391,352,939.172226
37.783269,95,940.469746
3.466523,327,944.245372
13.717551,397,948.865983
29.10578,99,950.129778
-86.298774,293,953.625175
-68.070621,245,956.401189
16.071845,240,959.237373
22.481777,214,961.796741
-102.981008,263,964.867565
-94.169365,299,968.375348
-178.939968,372,985.293233
-63.031405,256,988.383665
-78.968225,301,991.998196
-34.205066,234,994.719549
28.121222,119,996.32643
-63.646512,293,999.667543
-64.868153,295,1003.15868
-12.130509,176,1005.297854
-35.11967,252,1008.139827
-174.013983,343,1012.047883
22.544304,111,1013.513374
-160.750898,378,1017.829786
-19.437187,203,1020.201217
-17.423917,284,1023.574005
-53.54479,277,1026.767723
47.612432,109,1028.234743
45.813571,53,1029.137707
19.57227,122,1030.753886
-40.192456,211,1033.159144
-43.872065,237,1035.967938
35.741195,89,1037.110805
-5.466207,160,1038.987117
-54.497247,212,1041.612804
-89.340825,250,1044.557053
-61.10363,230,1047.212554
45.123008,66,1048.204262
-49.161612,253,1051.202239
9.867045,163,1053.241174
-56.674141,244,1056.186918
34.510634,131,1057.898133
-47.291126,294,1061.320841
-42.832768,220,1063.853244
17.558992,288,1067.182219
-67.04903,255,1070.232208
35.718425,103,1071.621145
-150.483939,334,1075.498247
34.691899,104,1076.896449
20.544596,115,1078.306158
29.162202,100,1079.677444
-2.931041,168,1081.754197
-37.047019,227,1084.422348
-119.161198,301,1087.809986
-62.739514,242,1090.684599
32.204192,115,1092.228961
-0.048921,203,1094.584359
-85.743391,244,1097.50514
0.775843,174,1099.677732
-1.795227,234,1102.497375
5.354313,153,1104.456232
10.887033,152,1106.256702
6.539153,152,1108.150517
17.623583,128,1109.79593
-37.112314,222,1112.549839
-2.257376,160,1114.540964
30.937204,147,1116.407912
-73.200961,263,1119.547479
32.518866,103,1120.856128
-51.41494,324,1124.644693
-9.420032,187,1126.862172
-21.366784,188,1129.081947
-26.969451,304,1132.678757
-86.191033,246,1135.472378
29.65661,92,1136.747388
49.374537,24,1137.309628
-46.814274,207,1139.826884
28.463619,96,1141.163494
41.077109,95,1142.50618
-6.844387,160,1144.66713
-25.30964,187,1146.980148
25.526614,153,1148.836638
-83.412921,223,1151.566324
-18.408282,170,1153.719651
-1.9578,151,1155.609348
17.092913,129,1157.190448
13.943719,150,1159.125363
-28.53828,188,1161.468261
-29.363033,218,1164.069499
-33.524652,219,1166.566552
38.37799,108,1168.012244
22.317583,152,1169.858711
-0.435985,303,1173.431469
-27.885321,180,1175.643682
-82.250755,238,1178.454539
-31.506738,210,1180.958062
19.740739,143,1182.799285
42.039736,60,1183.729403
-48.551555,199,1186.027984
33.446877,84,1187.219321
44.664675,53,1188.096829
49.03387,34,1188.657206
-9.71881,191,1190.99347
6.921907,146,1192.730736
-12.430741,177,1194.934413
-50.255658,224,1197.740138
39.063209,105,1199.187739
-81.145408,308,1202.888564
26.193588,112,1204.435743
-50.494197,215,1207.032812
-59.003747,252,1209.985132
33.541635,114,1211.511492
3.627178,146,1213.357117
-48.443082,210,1215.809224
-28.888698,196,1218.218217
29.799819,92,1219.431843
26.715738,113,1220.896105
19.2013,252,1223.759418
-660.383615,400,1247.759004
-18.624558,175,1249.889049
-74.369922,295,1253.347945
10.117026,143,1255.167279
2.841039,167,1257.22992
16.37478,132,1258.924361
28.716602,134,1260.616377
11.110347,158,1262.454384
44.844899,60,1263.388277
-93.637455,258,1266.391867
12.072019,135,1268.037283
-25.579301,183,1270.303666
19.332534,108,1271.750863
-61.624558,230,1274.390737
-20.367119,179,1276.490205
-19.517417,174,1278.648022
-67.652111,281,1282.008399
43.853514,53,1282.910688
-43.290328,216,1285.589125
-170.221155,323,1289.427466
46.735977,57,1290.232722
42.309875,65,1291.130939
-19.335201,222,1293.805531
45.802804,58,1294.620148
12.426822,138,1296.442692
5.971232,109,1297.952406
16.387632,107,1299.286242
-26.265176,192,1301.666762
43.51465,66,1302.654506
-4.258928,152,1304.634032
-75.393625,224,1307.411926
35.627732,158,1309.412139
-52.918562,222,1312.114771
-0.203,146,1314.02151
17.613238,121,1315.537592
26.704342,142,1317.320155
-69.742484,225,1320.122308
26.82009,97,1321.513144
50.609025,34,1322.187886
31.504712,96,1323.528447
-25.29902,167,1325.548417
-110.939992,257,1328.640685
-29.826119,226,1331.296434
-120.394477,363,1335.483362
18.674914,116,1337.028327
1.64322,150,1338.911673
-2.282195,148,1340.782194
-1.431902,161,1342.7809
-1.253134,170,1344.864666
9.985325,144,1346.735866
39.05722,74,1347.844389
27.345037,97,1349.088947
-145.94008,281,1352.395446
-13.114938,146,1354.151606
-6.747289,146,1355.959014
27.717767,112,1357.354698
38.215868,95,1358.680791
28.750149,111,1360.184122
-118.428206,248,1363.25282
16.669973,279,1366.619142
-28.248697,195,1369.000439
-11.256638,168,1371.110913
9.007309,146,1372.962214
32.104192,89,1374.201888
-15.410384,169,1376.295827
-59.624385,211,1378.785321
40.352536,100,1380.131936
42.572059,68,1381.161098
-6.695959,167,1383.221882
4.814988,128,1384.774846
40.095673,76,1385.879979
-11.476521,157,1387.714095
-3.226329,147,1389.577687
47.898638,48,1390.397796
32.850201,94,1391.721051
35.271882,83,1392.901707
-22.503906,173,1395.017164
35.9831,138,1396.779423
50.175687,25,1397.264535
-1.079038,131,1398.946331
33.050065,88,1400.092732
-11.405796,166,1402.074448
31.20422,93,1403.257958
-21.849693,156,1405.153723
33.061449,90,1406.404832
-17.775507,228,1409.100203
-6.994166,151,1410.923873
-79.470369,240,1413.694708
-41.205396,219,1416.277961
16.353676,109,1417.702139
26.087143,117,1419.233019
-7.848336,151,1421.176803
37.455983,77,1422.231053
28.688841,116,1423.710115
-1.735159,148,1425.648396
10.151145,121,1427.223249
1.372381,142,1429.132144
-137.568679,267,1432.335183
-13.872495,142,1434.092556
-54.1346,219,1436.741055
-17.715589,169,1438.936395
-2.870078,148,1440.937738
39.270864,76,1441.99241
16.925759,118,1443.567047
-58.105228,206,1446.133911
-118.941338,267,1449.555971
-33.126113,183,1451.97962
-2.095574,164,1454.192149
9.76793,135,1455.982234
-14.227458,156,1457.975756
9.223685,115,1459.57732
-30.063796,194,1462.095468
-31.569216,170,1464.144977
-5.971799,232,1467.190596
-4.269207,158,1469.153095
-57.106162,204,1471.737504
47.261172,47,1472.476544
33.873639,102,1473.846228
-65.77462,198,1476.395344
15.244576,139,1478.1629
-39.916501,185,1480.430148
-44.042962,198,1482.972387
25.659001,103,1484.388604
34.843676,85,1485.594599
-24.393389,176,1487.789546
-7.88867,141,1489.536569
19.64892,99,1490.835881
26.722474,97,1492.088986
-34.372171,171,1494.201238
-0.950049,140,1495.886271
-1763.0679,400,1517.177414
43.995823,54,1518.043995
-111.631416,249,1520.897261
15.829882,133,1522.553772
-124.412363,275,1525.856261
-133.455671,283,1529.059657
25.990044,87,1530.278746
-10.433402,151,1532.08233
-14.925312,325,1535.875804
28.949313,97,1537.122757
23.803152,106,1538.635489
10.869967,112,1540.0397
40.305594,69,1541.101095
-80.478311,222,1543.810621
-24.308554,172,1545.864138
-27.020204,180,1547.953187
-0.705008,114,1549.482748
49.179817,33,1550.158462
47.351255,41,1550.898693
12.156044,120,1552.390421
-101.025527,189,1554.723175
28.270068,86,1555.939963
42.817286,60,1556.787391
-1.425079,134,1558.404473
5.379694,141,1560.191767
-3.53876,147,1562.100129
26.208272,178,1564.181326
2.610517,134,1565.927186
-86.990236,273,1569.230755
48.284501,82,1570.310675
37.728024,116,1571.7539
13.607295,144,1573.586587
-66.266659,218,1576.232801
-109.142765,228,1578.967429
-2.671518,149,1580.786037
16.839772,123,1582.291683
0.831846,173,1584.353465
13.656857,117,1585.943986
36.146151,86,1587.068251
-43.768559,242,1589.977394
-350.406587,400,1594.473007
-39.591218,204,1596.973994
47.588414,50,1597.808761
21.060089,104,1599.123631
-123.388054,265,1602.1658
1.468849,185,1604.444262
-45.913846,195,1606.84216
29.320732,130,1608.463035
2.626236,126,1610.142466
-53.361832,212,1612.728317
19.522725,183,1615.046103
48.18806,61,1615.914151
-254.996671,346,1619.860783
-218.160887,334,1623.826005
-100.099408,270,1627.047408
6.346499,118,1628.539875
1.943086,115,1630.085765
-10.428802,159,1632.076153
-85.382605,279,1635.37671
-19.625587,178,1637.613413
39.152469,67,1638.614999
-0.225243,136,1640.371544
44.983242,50,1641.207846
30.831061,89,1642.46868
-3.389604,123,1644.12441
5.385493,123,1645.722386
1.677609,136,1647.48272
-57.306396,185,1649.781783
34.118894,107,1651.115638
27.736986,92,1652.398871
-292.57658,397,1657.006365
15.879785,106,1658.500488
-113.111169,258,1661.558626
-7.737332,142,1663.365616
-138.297909,275,1666.602266
15.769818,110,1668.103817
-14.778594,177,1670.266993
40.349365,159,1672.25362
19.187334,110,1673.732404
-33.915164,278,1677.003757
-16.864871,162,1679.011106
-1.181501,263,1682.157263
-7.619702,141,1684.029716
32.172106,72,1685.106406
-64.329406,187,1687.398343
-150.413607,288,1690.735477
39.39508,73,1691.806911
33.815268,91,1693.081691
38.827298,66,1694.082134
37.391326,67,1695.088299
44.505199,54,1695.969334
-27.765551,162,1697.918743
-28.094255,184,1700.19268
41.257907,61,1701.214494
-5.057991,140,1703.096855
15.422624,165,1705.164653
-48.352117,181,1707.430546
37.958081,71,1708.490586
-2.612939,134,1710.21135
27.968069,94,1711.52308
12.368375,124,1713.138392
0.530915,128,1714.804281
37.617288,70,1715.74509
-95.576768,210,1718.358218
26.106595,91,1719.528621
-158.442586,322,1723.250116
-58.88927,178,1725.485302
-110.170545,247,1728.410351
29.973402,88,1729.589713
-36.244271,199,1732.022221
-125.429345,247,1734.871061
3.629629,125,1736.507496
14.048347,116,1738.070405
-18.580428,154,1740.026661
-219.154699,325,1743.749895
42.21263,60,1744.746099
-238.169867,376,1748.956903
-37.820027,175,1751.136942
-82.153795,225,1753.956384
12.308506,118,1755.407775
-1.56107,124,1757.042365
47.489774,56,1757.940452
31.056622,80,1759.090045
14.16733,112,1760.580019
-22.351726,154,1762.414388
-35.389774,151,1772.472062
-19.32508,146,1774.340146
-24.587584,153,1776.28519
-95.69368,224,1778.98928
-2.122786,139,1780.670258
43.05549,62,1781.667208
4.419577,113,1783.165442
44.228826,59,1783.992237
31.504046,89,1785.234221
23.740945,96,1786.459429
24.904517,97,1787.804781
47.975549,68,1788.827765
48.857249,53,1789.718521
34.633789,79,1790.89219
29.395324,102,1792.181459
49.265383,90,1793.426545
50.662447,7,1793.812427
8.916921,124,1795.351201
-59.306489,167,1797.359931
-68.218009,204,1799.7337
-102.701182,251,1802.741618
36.887906,77,1803.759948
20.005627,107,1805.107661
-108.260725,229,1807.909629
29.499515,85,1809.129249
36.242065,94,1810.445654
-11.220524,203,1812.842379
-32.54911,159,1814.875075
-6.053676,136,1816.629277
-15.844696,137,1818.467652
36.479112,69,1819.520407
42.394015,55,1820.410384
-115.342914,231,1823.162624
38.324163,66,1824.213689
25.226932,91,1825.479222
-63.444242,250,1828.443887
-12.984494,162,1830.523428
18.591156,159,1832.546885
40.298882,60,1833.493872
49.578932,39,1834.218709
-16.262716,146,1835.958605
-1.450001,142,1837.808557
29.346415,79,1838.983653
-95.737628,203,1841.58091
-21.672844,174,1843.735107
30.015009,91,1844.992405
-10.741822,163,1847.028049
12.482159,112,1848.5433
-37.512542,168,1850.690697
49.864947,25,1851.254972
36.127565,76,1852.372695
42.036514,174,1854.549638
0.581289,141,1856.25133
38.792404,80,1857.296466
20.891962,100,1858.659413
22.652261,110,1860.131855
-7.644729,140,1861.81222
33.202613,81,1862.977698
38.430724,69,1863.904513
15.043867,106,1865.348144
3.494129,143,1867.202408
11.720064,98,1868.575334
-71.036175,233,1871.478441
16.525465,104,1872.915663
-140.456227,301,1876.517498
49.243679,34,1877.201765
46.800505,39,1877.92348
45.106798,50,1878.776142
45.131183,57,1879.697091
-1.432026,128,1881.273311
-4.833749,128,1882.880817
13.299008,106,1884.231937
-14.84818,144,1886.064616
-17.682536,178,1888.160565
-244.740003,331,1892.056863
6.163184,118,1893.542359
-23.542932,143,1895.380343
-41.513669,159,1897.361902
49.331275,36,1898.052626
-27.326816,151,1899.966736
17.147293,99,1901.338725
-25.540991,145,1903.222491
-27.882972,153,1905.141407
-259.287073,316,1908.681773
34.032943,96,1909.888398
14.071261,108,1911.28601
-223.451194,307,1915.021216
33.835481,76,1916.173357
-68.015559,193,1918.638808
32.804031,81,1919.807569
30.491042,92,1921.027899
33.530328,74,1922.116413
1.822162,123,1923.807154
23.440066,84,1925.016927
47.433774,39,1925.66683
50.620421,26,1926.252146
-22.912108,145,1928.104736
34.785205,72,1929.181533
40.379094,61,1930.163766
49.7517,27,1930.761919
30.397778,82,1931.922664
17.896808,100,1933.170284
50.029928,28,1933.681187
-13.125385,148,1935.570831
-37.793469,161,1937.527806
16.344917,90,1938.777875
22.777013,117,1940.341825
45.934594,51,1941.093857
38.685372,70,1942.139264
-0.796044,128,1943.708921
21.909867,91,1944.989034
16.710912,98,1946.339146
-101.99633,215,1948.949122
48.996889,42,1949.600433
22.663967,96,1950.803175
14.069088,102,1952.217665
16.468312,101,1953.622602
-3.659726,123,1955.150921
50.04793,60,1956.107112
-5.736256,143,1957.991791
19.275281,93,1959.330499
21.135602,93,1960.615855
-59.44353,260,1963.587388
49.685885,23,1964.035971
46.368788,42,1964.784142
23.727019,99,1966.163789
11.583019,110,1967.6653
-20.880397,142,1969.477093
44.627804,48,1970.19522
42.649523,68,1971.229954
7.598344,109,1972.67869
-101.812523,245,1975.625504
-99.275345,228,1978.352679
25.530179,163,1980.313386
49.754601,24,1980.775519
0.390964,184,1983.018873
47.336769,41,1983.654575
-7.193492,136,1985.329235
-59.439645,177,1987.536478
42.84553,55,1988.414752
-113.427083,251,1991.414341
46.762343,45,1992.20763
21.888433,91,1993.486547
-8.761585,152,1995.421602
-71.207793,196,1997.816308
13.98942,111,1999.315129
-38.586047,171,2001.388257
21.621721,88,2002.644263
-86.633412,215,2005.149723
-45.630634,166,2007.119743
17.400888,97,2008.471823
-18.136055,137,2010.154304
25.544769,87,2011.410955
-11.956315,176,2013.495646
-163.848183,324,2017.356179
42.500069,169,2019.349208
46.604847,45,2020.142131
12.261725,95,2021.44709
-25.566493,179,2023.776065
16.748549,100,2025.18957
19.339268,89,2026.375756
42.395048,56,2027.332341
23.077066,106,2028.676287
12.547322,152,2030.49101
47.924261,34,2031.052694
11.832561,97,2038.245341
39.71736,56,2039.055944
-26.285884,152,2040.956174
-101.7012,213,2043.603793
18.091799,89,2044.903799
-30.875542,162,2046.982147
47.401846,52,2047.750614
24.958079,86,2048.970741
6.557911,111,2050.464135
-9.215694,123,2052.06361
-4.062058,208,2054.574591
37.172179,67,2055.593801
11.25169,110,2056.987805
-4.154897,129,2058.663558
50.015829,22,2059.20351
-51.200894,162,2061.171455
-176.509855,299,2064.59265
17.076925,102,2065.997253
27.675787,84,2067.127087
-55.435879,167,2069.275476
-93.188771,199,2071.806102
16.870197,97,2073.153029
27.042913,205,2075.685428
34.217686,75,2076.851945
-62.397787,170,2078.97531
4.24186,115,2080.513429
24.099021,90,2081.770507
-131.228657,221,2084.520065
29.069153,94,2085.82853
-30.036767,145,2087.569374
12.119172,104,2088.983616
-13.87427,306,2092.464916
37.627991,71,2093.578321
5.828191,112,2094.967028
45.661492,52,2095.821685
34.256301,76,2096.92604
-5.114452,125,2098.478844
43.33697,51,2099.346485
42.312772,61,2100.245177
17.21871,95,2101.567064
-108.645619,216,2104.084152
-71.089655,182,2106.373389
-221.811512,313,2110.118116
14.36926,109,2111.584099
-12.312229,146,2113.479548
34.714015,76,2114.606703
-25.783404,142,2116.441168
24.977098,88,2117.67741
-2.034549,124,2119.311813
51.388553,31,2119.950162
38.030659,58,2120.781817
41.277132,54,2121.674104
45.585105,48,2122.493551
48.029461,41,2123.147671
24.04497,87,2124.43251
-109.280777,221,2127.122102
37.469296,63,2128.144612
27.477631,86,2129.366676
11.520573,117,2130.830398
18.769353,122,2132.452703
9.225101,110,2133.846766
27.347549,80,2135.051615
24.439494,77,2136.085676
-2.455459,119,2137.558347
44.330772,48,2138.386564
21.375766,88,2139.632179
-34.031287,160,2141.668849
21.310623,223,2144.31286
-56.459504,173,2146.463967
-155.556745,239,2149.198014
42.15861,56,2150.000266
15.526828,93,2151.286035
-164.099252,253,2154.403131
3.094046,116,2155.907982
6.940453,114,2157.338028
50.822893,38,2158.058441
18.93709,92,2159.348344
14.359283,104,2160.756851
23.287492,89,2161.927799
-193.250695,292,2165.236658
-153.69452,245,2168.156845
-85.432422,210,2170.747258
32.318563,69,2171.782209
29.866718,86,2172.904564
24.300053,108,2174.295295
27.385192,86,2175.466669
46.787001,37,2176.178255
-12.66491,132,2177.801785
35.804156,71,2178.756334
-133.883023,266,2181.969587
-30.230615,148,2183.746158
45.385833,89,2184.916424
26.462552,84,2186.013043
51.447097,30,2186.538635
34.76693,102,2187.94966
39.838478,71,2188.916506
-10.291382,123,2190.591073
20.402941,94,2191.793994
49.352262,42,2192.543959
30.512524,99,2193.900026
-129.348755,217,2196.52746
9.175982,123,2198.156453
26.466032,88,2199.409199
15.490097,171,2201.590372
-189.556293,323,2205.425541
14.736326,90,2206.750085
14.344197,102,2208.137258
14.840097,103,2209.551575
18.740548,94,2210.880044
41.168577,52,2211.643121
-30.272986,155,2213.549116
40.828879,56,2214.366348
41.181113,65,2215.354622
43.796465,182,2217.584769
-55.323543,170,2219.711607
36.666345,72,2220.818298
21.173451,109,2222.168601
-4.96322,120,2223.752979
-78.502283,199,2226.172796
5.400425,168,2228.259115
47.23139,37,2228.953866
45.468786,46,2229.770926
1.894074,115,2231.339771
15.624034,97,2232.58671
36.067153,95,2233.899024
49.358383,38,2234.512285
20.891722,124,2236.119269
8.753881,137,2237.795535
24.150152,117,2239.377439
33.017633,72,2240.37074
34.110793,71,2241.427111
46.187284,53,2242.299302
3.649347,111,2243.785684
-98.43288,208,2246.321587
29.631579,74,2247.453238
-44.555077,155,2249.407419
33.157039,98,2250.748581
23.867763,139,2252.527588
-58.14981,193,2254.798423
-13.910541,149,2256.703624
18.662813,91,2257.97115
-58.117901,170,2260.093636
20.074342,91,2261.371356
42.732109,51,2262.223058
